Year	Month1	Month2	Month3	Month4	Month5	Month6	Month7	Month8	Month9	Month10	Month11	Month12	bptdiff2	energyDemandTwh
0.52	0	0	0	0	0	0	0	1	0	0	0	0	0.577217566	0.21767143
0.52	0	0	0	0	0	0	0	0	1	0	0	0	0.193998685	0.20419872
0.52	0	0	0	0	0	0	0	0	0	1	0	0	7.72597E-05	0.19120624
0.52	0	0	0	0	0	0	0	0	0	0	1	0	0.020699279	0.20258221
0.52	0	0	0	0	0	0	0	0	0	0	0	1	0.462980559	0.22589523
0.56	1	0	0	0	0	0	0	0	0	0	0	0	0.245364316	0.220391
0.56	0	1	0	0	0	0	0	0	0	0	0	0	0.204910093	0.197493
0.56	0	0	1	0	0	0	0	0	0	0	0	0	0.084087014	0.210425
0.56	0	0	0	1	0	0	0	0	0	0	0	0	0.00210949	0.20318
0.56	0	0	0	0	1	0	0	0	0	0	0	0	0.045694546	0.206408
0.56	0	0	0	0	0	1	0	0	0	0	0	0	0.227850119	0.207216
0.56	0	0	0	0	0	0	1	0	0	0	0	0	0.548723861	0.233774
0.56	0	0	0	0	0	0	0	1	0	0	0	0	0.606253002	0.243083
0.56	0	0	0	0	0	0	0	0	1	0	0	0	0.206118767	0.216462
0.56	0	0	0	0	0	0	0	0	0	1	0	0	0.01106786	0.195815
0.56	0	0	0	0	0	0	0	0	0	0	1	0	0.063130616	0.212888
0.56	0	0	0	0	0	0	0	0	0	0	0	1	0.150569685	0.225067
0.6	1	0	0	0	0	0	0	0	0	0	0	0	0.40423292	0.227815698
0.6	0	1	0	0	0	0	0	0	0	0	0	0	0.326036557	0.204962164
0.6	0	0	1	0	0	0	0	0	0	0	0	0	0.165344316	0.217000174
0.6	0	0	0	1	0	0	0	0	0	0	0	0	0.049538589	0.205648894
0.6	0	0	0	0	1	0	0	0	0	0	0	0	0.059081667	0.21375101
0.6	0	0	0	0	0	1	0	0	0	0	0	0	0.19265385	0.210932414
0.6	0	0	0	0	0	0	1	0	0	0	0	0	0.527503259	0.237560788
0.6	0	0	0	0	0	0	0	1	0	0	0	0	0.623402184	0.25142969
0.6	0	0	0	0	0	0	0	0	1	0	0	0	0.373881687	0.217945405
0.6	0	0	0	0	0	0	0	0	0	1	0	0	0.02158942	0.2125861
0.6	0	0	0	0	0	0	0	0	0	0	1	0	0.01695582	0.215692073
0.6	0	0	0	0	0	0	0	0	0	0	0	1	0.323963381	0.241919497
0.64	1	0	0	0	0	0	0	0	0	0	0	0	0.458150348	0.239605379
0.64	0	1	0	0	0	0	0	0	0	0	0	0	0.125500237	0.214060063
